customer_id,purchase_date,phone_model,storage_capacity,color,price_paid,trade_in_model,age,gender,income_bracket,education_level,occupation,location_type,city_region,previous_brand_loyalty,upgrade_frequency,customer_type,purchase_channel,feedback_sentiment,user_feedback
C112,2024-06-11,iPhone 16,256GB,Blue,899,Google Pixel 8,31,Female,100000-150000,Master,Medical & Healthcare,Suburban,Charlotte,Mixed,2 years,New,Apple Store,negative,there are too many problems to ignore. The software is buggy and slow. Really wish I had chosen something else.
C113,2024-06-18,Xiaomi 14,128GB,Black,599,Samsung Galaxy S21,27,Male,50000-75000,Bachelor,Media & Creative,Urban,Portland,Mixed,3 years,New,Electronics Retailer,neutral,"Pretty standard phone, this does the job but has some limitations. Three stars - it's okay."
C114,2024-06-25,iPhone 15,128GB,Pink,699,iPhone 11,34,Female,75000-100000,Bachelor,Education,Rural,Central Valley CA,Apple,4 years,Returning,Apple Store,positive,everything works perfectly. Signal reception is strong. Perfect for everyday use.
C115,2024-07-02,Nothing Phone 2,256GB,Dark Gray,449,OnePlus 9,24,Male,50000-75000,Associate,Technology & Data,Urban,Denver,Mixed,3 years,New,Electronics Retailer,positive,really satisfied with the overall experience. Couldn't be happier with it.
C116,2024-07-09,iPhone 16,128GB,Pink,799,iPhone 15 Pro,29,Female,150000+,Master,Medical & Healthcare,Urban,Los Angeles,Apple,1 year,Returning,Apple Store,positive, really satisfied with the overall experience. Perfect for everyday use.
C117,2024-07-16,Samsung Galaxy S24,128GB,Cobalt Violet,799,Samsung Galaxy S22,38,Male,75000-100000,Master,Business & Management,Suburban,Atlanta,Samsung,2 years,Returning,Carrier Store,negative,"I expected better, but I've had constant problems with it. The software is buggy and slow. Would not recommend this to anyone."
C118,2024-07-23,Google Pixel 8a,128GB,Aloe,499,iPhone XR,42,Female,50000-75000,Associate,Retail & Customer Service,Rural,South,Mixed,5 years,New,Carrier Store,negative,"the performance is really disappointing. Camera quality is poor, especially in low light. "
C119,2024-07-30,iPhone 15 Pro Max,512GB,Natural Titanium,1399,iPhone 13 Pro Max,39,Male,150000+,Master,Finance & Investment,Urban,New York,Apple,2 years,Returning,Apple Store,positive,the performance is solid. Signal reception is strong. Great choice if you're looking for reliability.
C120,2024-08-06,OnePlus 11,256GB,Eternal Green,649,Samsung Galaxy Note 20,33,Female,75000-100000,Bachelor,Technology & Data,Urban,San Francisco Bay Area,Mixed,3 years,Returning,Online,positive,impressed with how well it performs. Camera takes decent photos.
C121,2024-08-13,iPhone 16,256GB,Black,899,iPhone 14 Plus,26,Male,75000-100000,Bachelor,Medical & Healthcare,Suburban,Orlando,Apple,2 years,Returning,Apple Store,negative,"I expected better, but I'm having major issues with this device. It freezes and crashes frequently. Planning to return it if possible."
C122,2024-08-20,Samsung Galaxy A35,128GB,Awesome Navy,399,Samsung Galaxy A22,49,Female,25000-50000,High School,Retail & Customer Service,Rural,Southeast,Samsung,5 years,Returning,Carrier Store,positive,"I have to say, this phone does everything I need. Signal reception is strong. "
C123,2024-08-27,Google Pixel 8,256GB,Obsidian,749,Google Pixel 6a,31,Male,75000-100000,Master,Technology & Data,Urban,Austin,Google,2 years,Returning,Online,positive, this phone exceeded my expectations. Build quality feels premium.
C124,2024-09-03,iPhone 15,256GB,Green,899,iPhone 12,36,Female,100000-150000,Master,Engineering & Technology,Suburban,Dallas-Fort Worth,Apple,3 years,Returning,Apple Store,positive,impressed with how well it performs. Signal reception is strong. Highly recommended.
C125,2024-09-10,iPhone 16,128GB,White,799,Samsung Galaxy S23,30,Female,100000-150000,Master,Medical & Healthcare,Urban,Chicago,Mixed,2 years,New,Apple Store,negative,"Honestly, I've had constant problems with it. The screen is not very responsive. Look for alternatives before buying this."
C126,2024-09-17,Motorola Edge 40,128GB,Lunar Blue,599,iPhone 11,35,Male,50000-75000,Associate,,Rural,Midwest,Mixed,4 years,New,Electronics Retailer,neutral,"After using this, it meets basic expectations."
C127,2024-09-24,Samsung Galaxy S24 Ultra,256GB,Titanium Gray,1299,Samsung Galaxy S23 Ultra,41,Female,150000+,PhD,Engineering & Technology,Urban,Seattle,Samsung,1 year,Returning,Online,negative,this phone has been nothing but trouble. Build quality feels cheap and flimsy.
C128,2024-10-01,iPhone 15 Plus,128GB,Blue,799,iPhone 13,28,Male,75000-100000,Bachelor,Technology & Data,Suburban,Phoenix,Apple,3 years,Returning,Apple Store,positive,"To be honest, really satisfied with the overall experience. Hasn't given me any problems. Happy customer here!"
C129,2024-10-08,iPhone 16,256GB,Pink,899,iPhone 14,27,Female,75000-100000,Master,Medical & Healthcare,Urban,Miami,Apple,2 years,Returning,Apple Store,negative,the quality is not what I expected.
C130,2024-10-15,Google Pixel 8 Pro,512GB,Porcelain,1199,OnePlus 12,37,Male,100000-150000,PhD,Research & Development,Urban,Boston,Mixed,2 years,Returning,Online,negative,"this doesn't live up to the hype. Camera quality is poor, especially in low light. Planning to return it if possible."
C131,2024-10-22,Samsung Galaxy A55,256GB,Awesome Iceblue,549,Samsung Galaxy A43,43,Female,25000-50000,Associate,Administrative & Support,Rural,South,Samsung,4 years,Returning,Carrier Store,positive,been using it for months with no issues. The battery life is really good. Five stars from me.
C132,2024-10-29,iPhone 15 Pro,256GB,White Titanium,1099,iPhone 12 Pro,34,Male,150000+,Master,Legal,Urban,New York,Apple,3 years,Returning,Apple Store,positive, this phone does everything I need.
C133,2024-11-05,iPhone 16,128GB,Blue,799,Google Pixel 7a,29,Male,100000-150000,Master,Medical & Healthcare,Suburban,Houston,Mixed,2 years,New,Apple Store,negative,the quality is not what I expected. Very disappointed with this purchase.
C134,2024-11-12,Nothing Phone 2a,128GB,Milk,349,Samsung Galaxy A32,25,Female,25000-50000,High School,Food Service & Hospitality,Urban,Portland,Mixed,4 years,New,Electronics Retailer,negative, I'm having major issues with this device.
C135,2024-11-19,OnePlus 12,256GB,Flowy Emerald,799,iPhone 13,32,Male,75000-100000,Bachelor,Engineering & Technology,Urban,Denver,Mixed,2 years,Returning,Online,neutral,it's an okay choice if you're not too picky. Does what it says but lacks wow factor.
C136,2024-11-26,iPhone 15,128GB,Yellow,699,iPhone 11 Pro,38,Female,100000-150000,Master,Sales & Marketing,Suburban,Atlanta,Apple,3 years,Returning,Apple Store,negative, the quality is not what I expected. Build quality feels cheap and flimsy. Two stars at most.
C137,2024-12-03,Samsung Galaxy Z Fold5,512GB,Phantom Black,1799,iPhone 14 Pro Max,44,Male,150000+,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,negative,I'm having major issues with this device. The interface is confusing and unintuitive. Two stars at most.
C138,2024-12-10,iPhone 16,256GB,White,899,iPhone 15 Plus,31,Female,100000-150000,Master,Medical & Healthcare,Urban,Los Angeles,Apple,1 year,Returning,Apple Store,positive,"I'm really impressed, been using it for months with no issues. Great value for money. Would definitely recommend!"
C139,2024-12-17,Google Pixel 8a,256GB,Bay,599,Samsung Galaxy A54,28,Male,50000-75000,Bachelor,Social Services,Rural,Central Valley CA,Mixed,3 years,New,Carrier Store,positive,been using it for months with no issues. The battery life is really good.
C140,2024-12-24,iPhone 15 Plus,256GB,Pink,999,iPhone 13 Plus,33,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Charlotte,Apple,2 years,Returning,Apple Store,positive,impressed with how well it performs. Camera takes decent photos. 
C141,2024-12-31,Samsung Galaxy S24,256GB,Marble Gray,849,Samsung Galaxy S21,36,Male,75000-100000,Master,Business & Management,Urban,Austin,Samsung,3 years,Returning,Carrier Store,neutral,there are both pros and cons to consider. Nice screen quality but performance is just okay. Three stars - it's okay.
C142,2025-01-07,iPhone 16,128GB,Black,799,iPhone 14 Pro Max,33,Male,150000+,Master,Medical & Healthcare,Urban,Chicago,Apple,2 years,Returning,Apple Store,positive,"Overall, quality is great for the price. Very responsive and fast. Happy customer here!"
C143,2025-01-14,Xiaomi 13T,256GB,Pink,649,OnePlus 10T,26,Female,50000-75000,Bachelor,Media & Creative,Urban,Miami,Mixed,2 years,New,Electronics Retailer,positive,"Honestly, everything works perfectly. Signal reception is strong. Will probably buy another one."
C144,2025-01-21,iPhone 15 Pro Max,256GB,Blue Titanium,1299,iPhone 13 Pro,40,Female,150000+,Master,Finance & Investment,Urban,New York,Apple,3 years,Returning,Apple Store,neutral,you get what you pay for with this one.
C145,2025-01-28,Google Pixel 8,128GB,Mint,699,Google Pixel 6,29,Male,75000-100000,Bachelor,Technology & Data,Urban,Seattle,Google,2 years,Returning,Online,positive,everything works perfectly. Storage space is plenty for my needs.
C146,2025-02-04,iPhone 16,256GB,Blue,899,Samsung Galaxy S22 Ultra,34,Female,100000-150000,Master,Medical & Healthcare,Suburban,Dallas-Fort Worth,Mixed,2 years,New,Apple Store,positive,"Overall, this phone does everything I need. "
C147,2025-02-11,Samsung Galaxy A35,128GB,Awesome Lilac,399,iPhone SE 2020,47,Male,25000-50000,High School,Security & Safety,Rural,Southeast,Mixed,5 years,New,Carrier Store,positive,everything works perfectly. Hasn't given me any problems.
C148,2025-02-18,OnePlus 11,128GB,Titan Black,649,Samsung Galaxy S20,31,Female,75000-100000,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,3 years,Returning,Online,negative,"I hate to say it, but the quality is not what I expected. The software is buggy and slow."
C149,2025-02-25,iPhone 15,256GB,Black,899,iPhone 12 mini,35,Male,100000-150000,Master,Finance & Investment,Suburban,Phoenix,Apple,4 years,Returning,Apple Store,negative,I regret buying this phone. Build quality feels cheap and flimsy. 
C150,2025-03-04,iPhone 16,128GB,Pink,799,iPhone 15,28,Female,75000-100000,Bachelor,Medical & Healthcare,Urban,Boston,Apple,1 year,Returning,Apple Store,negative,"To be honest, I'm having major issues with this device. Camera quality is poor, especially in low light. Definitely my last purchase from this brand."
C151,2024-04-03,Google Pixel 8 Pro,256GB,Obsidian,1099,iPhone 13 Pro,36,Male,100000-150000,PhD,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,positive,"I have to say, really satisfied with the overall experience. Hasn't given me any problems. Great choice if you're looking for reliability."
C152,2024-04-17,Samsung Galaxy S24 Plus,128GB,Amber Yellow,899,Samsung Galaxy S22 Plus,32,Female,75000-100000,Bachelor,Human Resources,Suburban,Orlando,Samsung,2 years,Returning,Carrier Store,negative,the performance is really disappointing. Connectivity issues are constant.
C153,2024-05-01,iPhone 16,256GB,White,899,Google Pixel 8 Pro,30,Male,100000-150000,Master,Medical & Healthcare,Urban,Houston,Mixed,2 years,New,Apple Store,positive,this phone does everything I need. Camera takes decent photos. Highly recommended.
C154,2024-05-14,Nothing Phone 2,128GB,Dark Gray,449,OnePlus 8,27,Female,50000-75000,Associate,Media & Creative,Urban,Portland,Mixed,3 years,New,Electronics Retailer,positive,"To be honest, works exactly as advertised. Interface is smooth and intuitive. Worth every penny."
C155,2024-05-27,iPhone 15 Pro,128GB,Natural Titanium,1099,iPhone 12 Pro Max,39,Male,150000+,Master,Business & Management,Urban,New York,Apple,3 years,Returning,Apple Store,negative,the quality is not what I expected. Build quality feels cheap and flimsy. Definitely my last purchase from this brand.
C156,2024-06-10,Samsung Galaxy A54,128GB,Awesome Violet,449,Samsung Galaxy A42,41,Female,25000-50000,Associate,Retail & Customer Service,Rural,Midwest,Samsung,4 years,Returning,Carrier Store,positive,works exactly as advertised.
C157,2024-06-23,iPhone 16,128GB,Blue,799,iPhone 14 Mini,26,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Charlotte,Apple,2 years,Returning,Apple Store,positive,"I have to say, the performance is solid. Camera takes decent photos."
C158,2024-07-06,OnePlus 12,256GB,Silky Black,799,Google Pixel 7 Pro,33,Male,75000-100000,Master,Engineering & Technology,Urban,Denver,Mixed,2 years,Returning,Online,neutral,This phone is it's functional but not outstanding. Good battery life but the camera could be better. Three stars - it's okay.
C159,2024-07-19,Google Pixel 8a,128GB,Porcelain,499,iPhone XS,38,Female,50000-75000,Bachelor,Education,Rural,South,Mixed,5 years,New,Carrier Store,neutral,I'd say it's average for the price range. Good battery life but the camera could be better.
C160,2024-08-02,iPhone 15,128GB,Green,699,iPhone 11,34,Male,100000-150000,Master,Technology & Data,Urban,San Francisco Bay Area,Apple,4 years,Returning,Apple Store,positive,the performance is solid. Great value for money. Couldn't be happier with it.
C161,2024-08-16,Samsung Galaxy Z Flip5,128GB,Mint,999,iPhone 13 mini,24,Female,100000-150000,Bachelor,Media & Creative,Urban,Los Angeles,Mixed,2 years,Returning,Online,positive,quality is great for the price. Interface is smooth and intuitive.
C162,2024-08-30,iPhone 16,256GB,Pink,899,iPhone 15 Pro Max,29,Female,150000+,Master,Medical & Healthcare,Urban,Chicago,Apple,1 year,Returning,Apple Store,negative,"Honestly, the reliability is just not there. Build quality feels cheap and flimsy. Would not recommend this to anyone."
C163,2024-09-13,Motorola Edge 40 Pro,256GB,Interstellar Black,699,Samsung Galaxy Note 10+,37,Male,50000-75000,Bachelor,Construction & Trades,Rural,Southeast,Mixed,4 years,New,Electronics Retailer,positive,really happy with this purchase. The battery life is really good.
C164,2024-09-26,iPhone 15 Plus,256GB,Blue,999,iPhone 13,31,Female,75000-100000,Master,Business & Management,Suburban,Atlanta,Apple,3 years,Returning,Apple Store,positive,"Overall, really satisfied with the overall experience. The battery life is really good. Happy customer here!"
C165,2024-10-10,Google Pixel 8,256GB,Rose,749,Samsung Galaxy A73,29,Male,75000-100000,Bachelor,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,positive,been using it for months with no issues. Storage space is plenty for my needs. Highly recommended.
C166,2024-10-23,iPhone 16,128GB,Black,799,Samsung Galaxy S23 Plus,32,Female,100000-150000,Master,Medical & Healthcare,Suburban,Dallas-Fort Worth,Mixed,2 years,New,Apple Store,negative,the performance is really disappointing.
C167,2024-11-06,Samsung Galaxy A55,256GB,Awesome Navy,549,Samsung Galaxy A52,45,Male,25000-50000,High School,Transportation & Logistics,Rural,Midwest,Samsung,3 years,Returning,Carrier Store,positive,"I'm really impressed, impressed with how well it performs."
C168,2024-11-20,iPhone 15 Pro Max,512GB,White Titanium,1499,iPhone 13 Pro Max,42,Female,150000+,PhD,Research & Development,Urban,Seattle,Apple,2 years,Returning,Apple Store,positive,"I'm really impressed, impressed with how well it performs. Will probably buy another one."
C169,2024-12-04,OnePlus 11,256GB,Eternal Green,649,Google Pixel 6a,28,Male,75000-100000,Bachelor,Technology & Data,Urban,Miami,Mixed,3 years,Returning,Online,positive,quality is great for the price. Will probably buy another one.
C170,2024-12-18,iPhone 16,256GB,Blue,899,iPhone 14,27,Male,100000-150000,Master,Medical & Healthcare,Urban,Boston,Apple,2 years,Returning,Apple Store,negative,"Honestly, there are too many problems to ignore. Camera quality is poor, especially in low light. "
C171,2025-01-01,Google Pixel 8 Pro,128GB,Bay,999,OnePlus 11T,34,Female,100000-150000,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,negative,the quality is not what I expected. It freezes and crashes frequently. Very disappointed with this purchase.
C172,2025-01-15,Samsung Galaxy S24,128GB,Phantom Black,799,Samsung Galaxy S21 FE,36,Male,75000-100000,Bachelor,Sales & Marketing,Suburban,Phoenix,Samsung,3 years,Returning,Carrier Store,positive,this phone does everything I need.
C173,2025-01-29,iPhone 15,256GB,Yellow,899,iPhone 12,33,Female,100000-150000,Master,Finance & Investment,Urban,New York,Apple,3 years,Returning,Apple Store,neutral,it's neither great nor terrible. It'll do the job.
C174,2025-02-12,iPhone 16,128GB,White,799,Google Pixel 8a,30,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Houston,Mixed,2 years,New,Apple Store,positive,"I have to say, this phone does everything I need. Build quality feels premium."
C175,2025-02-26,Nothing Phone 2a,256GB,Black,449,Samsung Galaxy A33,26,Male,50000-75000,Associate,Technology & Data,Urban,Portland,Mixed,3 years,New,Electronics Retailer,negative,the quality is not what I expected. Definitely my last purchase from this brand.
C176,2025-03-12,OnePlus 12,128GB,Flowy Emerald,699,iPhone 12 Pro,35,Female,75000-100000,Master,Engineering & Technology,Urban,Denver,Mixed,3 years,Returning,Online,positive,"After using this for a while, this phone does everything I need. Storage space is plenty for my needs."
C177,2025-03-26,iPhone 16,256GB,Pink,899,iPhone 15 Mini,28,Female,100000-150000,Master,Medical & Healthcare,Urban,Los Angeles,Apple,1 year,Returning,Apple Store,positive,"I'm really impressed, this phone does everything I need. Signal reception is strong."
C178,2024-04-20,Samsung Galaxy A35,128GB,Awesome Iceblue,399,Samsung Galaxy A24,48,Male,25000-50000,High School,Administrative & Support,Rural,South,Samsung,5 years,Returning,Carrier Store,neutral,"Pretty standard phone, there are both pros and cons to consider. Works well for calls and texts, average for everything else. It's fine if you don't need anything fancy."
C179,2024-05-11,Google Pixel 8a,256GB,Aloe,599,iPhone XR,31,Female,50000-75000,Bachelor,Sales & Marketing,Urban,Atlanta,Mixed,4 years,New,Carrier Store,negative,"To be honest, this phone has been nothing but trouble. Planning to return it if possible."
C180,2024-06-01,iPhone 15 Pro,256GB,Blue Titanium,1099,iPhone 12 Pro,38,Male,150000+,Master,Finance & Investment,Urban,Chicago,Apple,3 years,Returning,Apple Store,negative,"Unfortunately, the reliability is just not there. Connectivity issues are constant."
C181,2024-06-28,iPhone 16,128GB,Blue,799,Samsung Galaxy S21 Ultra,31,Male,100000-150000,Master,Medical & Healthcare,Suburban,Charlotte,Mixed,2 years,New,Apple Store,positive,the performance is solid. Hasn't given me any problems.
C182,2024-07-12,Xiaomi 14 Ultra,512GB,White,1199,iPhone 14 Pro,37,Female,150000+,PhD,Research & Development,Urban,Austin,Mixed,2 years,Returning,Electronics Retailer,neutral,"After using this, it's functional but not outstanding."
C183,2024-08-05,Samsung Galaxy Z Fold5,256GB,Icy Blue,1699,iPhone 13 Pro Max,40,Male,150000+,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,positive,"I'm really impressed, impressed with how well it performs. Storage space is plenty for my needs. Worth every penny."
C184,2024-08-25,iPhone 15,128GB,Pink,699,iPhone 11 Pro,35,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Orlando,Apple,4 years,Returning,Apple Store,negative,the performance is really disappointing. Connectivity issues are constant. Definitely my last purchase from this brand.
C185,2024-09-18,iPhone 16,256GB,Black,899,iPhone 14 Plus,29,Female,75000-100000,Master,Medical & Healthcare,Urban,Seattle,Apple,2 years,Returning,Apple Store,negative,the reliability is just not there. Connectivity issues are constant. Save your money and look elsewhere.
C186,2024-10-02,Google Pixel 8,128GB,Hazel,699,Samsung Galaxy A72,32,Male,50000-75000,Associate,Retail & Customer Service,Rural,Midwest,Mixed,3 years,New,Carrier Store,neutral,it's a decent phone but nothing special. Does what it says but lacks wow factor.
C187,2024-10-30,OnePlus 11,128GB,Titan Black,649,Google Pixel 7,28,Female,75000-100000,Bachelor,Business & Management,Urban,Miami,Mixed,2 years,Returning,Online,negative,this doesn't live up to the hype. The interface is confusing and unintuitive. Would not recommend this to anyone.
C188,2024-11-13,iPhone 15 Plus,128GB,Green,799,iPhone 13 Plus,34,Male,100000-150000,Master,Engineering & Technology,Suburban,Dallas-Fort Worth,Apple,2 years,Returning,Apple Store,positive,been using it for months with no issues. Interface is smooth and intuitive.
C189,2024-12-07,Samsung Galaxy S24 Ultra,512GB,Titanium Violet,1399,Samsung Galaxy S23 Ultra,43,Female,150000+,PhD,Engineering & Technology,Urban,Boston,Samsung,1 year,Returning,Online,positive,"I'm really impressed, works exactly as advertised. Screen quality is excellent. Perfect for everyday use."
C190,2024-12-28,iPhone 16,128GB,Pink,799,iPhone 15 Pro,27,Female,100000-150000,Master,Medical & Healthcare,Urban,New York,Apple,1 year,Returning,Apple Store,positive,really happy with this purchase. Camera takes decent photos. Highly recommended.
C191,2025-01-11,Google Pixel 8 Pro,256GB,Porcelain,1099,OnePlus 12,33,Male,100000-150000,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,neutral,"After using this, it's functional but not outstanding. It'll do the job."
C192,2025-02-05,iPhone 15,256GB,Blue,899,iPhone 12 mini,36,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Phoenix,Apple,4 years,Returning,Apple Store,neutral,"It's okay, you get what you pay for with this one. Three stars - it's okay."
C193,2025-02-22,Samsung Galaxy A54,256GB,Awesome Graphite,499,Samsung Galaxy A43,42,Male,25000-50000,Associate,Transportation & Logistics,Rural,Southeast,Samsung,4 years,Returning,Carrier Store,positive,really satisfied with the overall experience. Hasn't given me any problems.
C194,2025-03-08,iPhone 16,256GB,White,899,Google Pixel 8,30,Male,100000-150000,Master,,Urban,Houston,Mixed,2 years,New,Apple Store,positive,really happy with this purchase. Hasn't given me any problems.
C195,2025-03-21,Nothing Phone 2,256GB,Dark Gray,449,iPhone SE 2022,25,Female,50000-75000,Bachelor,Technology & Data,Urban,Portland,Mixed,2 years,New,Electronics Retailer,positive,"Gotta say, impressed with how well it performs."
C196,2024-05-05,OnePlus 12,256GB,Silky Black,799,Samsung Galaxy S22,32,Male,75000-100000,Master,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,negative,"I expected better, but the quality is not what I expected. Camera quality is poor, especially in low light."
C197,2024-07-01,iPhone 15 Pro Max,256GB,Natural Titanium,1299,iPhone 13 Pro,41,Female,150000+,Master,Legal,Urban,Chicago,Apple,3 years,Returning,Apple Store,negative,"To be honest, I've had constant problems with it. Storage fills up too fast. Two stars at most."
C198,2024-09-14,Samsung Galaxy A55,128GB,Awesome Lilac,449,Samsung Galaxy A34,39,Male,25000-50000,High School,Retail & Customer Service,Rural,South,Samsung,5 years,Returning,Carrier Store,neutral,it's a decent phone but nothing special. Does what it says but lacks wow factor. Fair choice for the price.
C199,2024-11-28,iPhone 16,128GB,Blue,799,iPhone 14 Pro,28,Male,75000-100000,Bachelor,Medical & Healthcare,Suburban,Atlanta,Apple,2 years,Returning,Apple Store,negative,Really disappointed because this phone has been nothing but trouble. It freezes and crashes frequently. Definitely my last purchase from this brand.
C200,2025-02-14,Google Pixel 8a,128GB,Bay,499,Google Pixel 6a,29,Female,50000-75000,Bachelor,Social Services,Rural,Central Valley CA,Google,2 years,Returning,Carrier Store,negative,the reliability is just not there. It freezes and crashes frequently. Not worth the price at all.
C201,2024-03-31,Samsung Galaxy S24,128GB,Cobalt Violet,799,Samsung Galaxy S21,34,Female,75000-100000,Bachelor,Human Resources,Urban,Miami,Samsung,3 years,Returning,Carrier Store,positive,the performance is solid.
C202,2024-04-07,iPhone 15,256GB,Blue,899,iPhone 12,38,Male,100000-150000,Master,Technology & Data,Suburban,Seattle,Apple,3 years,Returning,Apple Store,positive,this phone does everything I need. Camera takes decent photos. Great choice if you're looking for reliability.
C203,2024-04-14,Google Pixel 8a,128GB,Aloe,499,Samsung Galaxy A53,27,Female,50000-75000,Associate,Retail & Customer Service,Rural,Southeast,Mixed,4 years,New,Carrier Store,neutral,it's neither great nor terrible. Decent features but nothing that stands out. Fair choice for the price.
C204,2024-04-21,iPhone 16,128GB,Black,799,OnePlus 10,31,Male,75000-100000,Bachelor,Sales & Marketing,Urban,Dallas-Fort Worth,Mixed,2 years,New,Apple Store,negative,this has been a frustrating experience. The interface is confusing and unintuitive.
C205,2024-04-28,OnePlus 12,256GB,Flowy Emerald,799,iPhone 13,29,Female,75000-100000,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,neutral,it's functional but not outstanding. Nice screen quality but performance is just okay. 
C206,2024-05-05,Samsung Galaxy A55,128GB,Awesome Navy,449,Samsung Galaxy A42,43,Male,25000-50000,High School,,Rural,Midwest,Samsung,4 years,Returning,Carrier Store,negative,the reliability is just not there. Build quality feels cheap and flimsy. Would not recommend this to anyone.
C207,2024-05-12,iPhone 15 Pro,128GB,White Titanium,1099,iPhone 12 Pro,36,Female,150000+,Master,,Urban,Boston,Apple,3 years,Returning,Apple Store,positive,been using it for months with no issues. Camera takes decent photos. Five stars from me.
C208,2024-05-19,iPhone 16,256GB,Pink,899,Google Pixel 7,28,Female,100000-150000,Bachelor,Media & Creative,Urban,Los Angeles,Mixed,2 years,New,Apple Store,neutral,"it's average for the price range. Works well for calls and texts, average for everything else."
C209,2024-05-26,Google Pixel 8,256GB,Obsidian,749,OnePlus 11,32,Male,75000-100000,Master,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,positive,"Overall, the performance is solid. Camera takes decent photos."
C210,2024-06-02,Samsung Galaxy Z Flip5,128GB,Lavender,999,iPhone 13 mini,25,Female,100000-150000,Bachelor,,Urban,New York,Mixed,2 years,Returning,Online,positive,"To be honest, the performance is solid. Signal reception is strong."
C211,2024-06-09,iPhone 15,128GB,Yellow,699,iPhone 11,35,Male,100000-150000,Master,Finance & Investment,Suburban,Phoenix,Apple,4 years,Returning,Apple Store,neutral,"Pretty standard phone, it's a decent phone but nothing special. Solid build but the interface takes getting used to."
C212,2024-06-16,Nothing Phone 2,128GB,Dark Gray,449,Samsung Galaxy A72,26,Male,50000-75000,Bachelor,Media & Creative,Urban,Portland,Mixed,3 years,New,Electronics Retailer,positive,this phone exceeded my expectations. Five stars from me.
C213,2024-06-23,iPhone 16,128GB,White,799,iPhone 14,30,Female,75000-100000,Bachelor,Real Estate & Property,Suburban,Charlotte,Apple,2 years,Returning,Apple Store,positive,works exactly as advertised.
C214,2024-06-30,OnePlus 11,256GB,Titan Black,649,Google Pixel 6a,33,Male,75000-100000,Bachelor,Technology & Data,Urban,Denver,Mixed,3 years,Returning,Online,negative,I've had constant problems with it. The software is buggy and slow. Would not recommend this to anyone.
C215,2024-07-07,Samsung Galaxy S24 Plus,256GB,Amber Yellow,999,Samsung Galaxy S22 Plus,37,Female,75000-100000,Master,Business & Management,Suburban,Atlanta,Samsung,2 years,Returning,Carrier Store,neutral,"It's okay, it works fine for basic needs. Good battery life but the camera could be better. Gets the job done."
C216,2024-07-14,iPhone 15 Plus,256GB,Green,999,iPhone 13 Plus,31,Male,75000-100000,Bachelor,Engineering & Technology,Urban,Chicago,Apple,3 years,Returning,Apple Store,negative,this phone has been nothing but trouble. It gets really hot during normal use.
C217,2024-07-21,Google Pixel 8 Pro,256GB,Bay,1099,Samsung Galaxy S23,39,Female,100000-150000,PhD,Research & Development,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,negative,Really disappointed because I'm having major issues with this device. The software is buggy and slow. 
C218,2024-07-28,iPhone 16,256GB,Blue,899,Samsung Galaxy S21 Ultra,34,Male,100000-150000,Master,,Urban,Seattle,Mixed,2 years,New,Apple Store,positive, the performance is solid. Interface is smooth and intuitive.
C219,2024-08-04,Xiaomi 14,128GB,Pink,599,OnePlus 9T,24,Female,50000-75000,Bachelor,Sales & Marketing,Urban,Miami,Mixed,2 years,New,Electronics Retailer,neutral,"After using this, it's an okay choice if you're not too picky. Reliable for basic use but struggles with demanding apps. "
C220,2024-08-11,Samsung Galaxy A54,256GB,Awesome Violet,499,Samsung Galaxy A52,41,Male,25000-50000,Associate,Transportation & Logistics,Rural,South,Samsung,3 years,Returning,Carrier Store,positive,"Honestly, impressed with how well it performs. Storage space is plenty for my needs. Five stars from me."
C221,2024-08-18,iPhone 15 Pro Max,512GB,Natural Titanium,1499,iPhone 13 Pro Max,44,Female,150000+,Master,Finance & Investment,Urban,New York,Apple,2 years,Returning,Apple Store,positive,"Gotta say, really satisfied with the overall experience. Interface is smooth and intuitive. Will probably buy another one."
C222,2024-08-25,iPhone 16,128GB,Pink,799,Google Pixel 8a,27,Female,75000-100000,Bachelor,Technology & Data,Urban,Austin,Mixed,2 years,New,Apple Store,positive,really satisfied with the overall experience. Screen quality is excellent. Would definitely recommend!
C223,2024-09-01,Google Pixel 8a,128GB,Porcelain,499,iPhone XR,32,Male,50000-75000,Associate,Retail & Customer Service,Rural,Central Valley CA,Mixed,5 years,New,Carrier Store,positive,"After using this for a while, impressed with how well it performs. Couldn't be happier with it."
